じこしょうかい;jikoshoukai;introduksjon av seg selv
じこしょうかい(します);jikoshoukai (shimasu);å introdusere seg selv
~と よんで ください;~ to yonde kudasai;vennligst kall meg ~
あいさつ;aisatsu;hilsen
なまえ;namae;navn
めいし;meishi;visittkort
ひと;hito;person
わたし;watashi;jeg
わたしたち;watashitachi;vi
あなた;anata;du
かれ;kare;han
かのじょ;kanojo;hun
じぶん;jibun;seg selv
ともだち;tomodachi;venn
あかちゃん;akachan;baby
こども;kodomo;barn
わかもの;wakamono;ungdom
おとな;otona;voksen
おとしより;otoshiyori;eldre person
おとこ;otoko;mann
おんな;onna;kvinne
おとこのこ;otokonoko;gutt
おんなのこ;onnanoko;jente
おとこのひと;otokonohito;mann (voksen)
おんなのひと;onnanohito;kvinne (voksen)
