かぞく;kazoku;familie
ちち;chichi;(min) far
はは;haha;(min) mor
あに;ani;(min) eldre bror
あね;ane;(min) eldre søster
おとうと;otouto;(min) yngre bror
いもうと;imouto;(min) yngre søster
おっと;otto;(min) ektemann
つま;tsuma;(min) kone
おこさん;okosan;(noen andres) barn
むすこ;musuko;sønn
むすめ;musume;datter
りょうしん;ryoushin;foreldre
きょうだい;kyoudai;søsken
ごりょうしん;goryoushin;(noen andres) foreldre
ごきょうだい;gokyoudai;(noen andres) søsken
おじ;oji;onkel
おば;oba;tante
おじさん;ojisan;(noen andres) onkel
おばさん;obasan;(noen andres) tante
おじいさん;ojiisan;bestefar/(noen andres) bestefar
おばあさん;obaasan;bestemor/(noen andres) bestemor
そふ;sofu;bestefar
そぼ;sobo;bestemor
まご;mago;barnebarn
こども;kodomo;(egne) barn
