くに;kuni;land
にほん;Nihon;Japan
アジア;Ajia;Asia
アメリカ;Amerika;Amerika/USA
ヨーロッパ;Yōroppa;Europa
オーストラリア;Ōsutoraria;Australia
カナダ;Kanada;Canada
ブラジル;Burajiru;Brasil
フランス;Furansu;Frankrike
ドイツ;Doitsu;Tyskland
イギリス;Igirisu;Storbritannia
イタリア;Itaria;Italia
スペイン;Supein;Spania
ロシア;Roshia;Russland
ちゅうごく;Chūgoku;Kina
インド;Indo;India
メキシコ;Mekishiko;Mexico
スウェーデン;Suwēden;Sverige
ノルウェー;Noruwē;Norge
フィンランド;Finrando;Finland
デンマーク;Denmāku;Danmark
オランダ;Oranda;Nederland
ベルギー;Berugī;Belgia
インドネシア;Indoneshia;Indonesia
エジプト;Ejiputo;Egypt
タイ;Tai;Thailand
かんこく;Kankoku;Sør-Korea
ベトナム;Betonamu;Vietnam
ニュージーランド;Nyūjīrando;New Zealand
アルゼンチン;Aruzenchin;Argentina
ハンガリー;Hangarī;Ungarn
フィリピン;Firipin;Filippinene
マレーシア;Marēshia;Malaysia
がいこく;Gaikoku;utland
がいこくじん;Gaikokujin;utenlandsk person
にほんじん;Nihonjin;japaner
~じん;~jin;~er (nasjonalitet)
りゅうがくせい;Ryūgakusei;utvekslingsstudent
