おみやげ;omiyage;souvenirer
プレゼント;purezento;gaver
えはがき/ポストカード;ehagaki/posutokaado;postkort
かみ;kami;papir
かさ;kasa;paraply
カメラ;kamera;kamera
さいふ;saifu;lommebok
しゅりけん;shuriken;kastestjerne
ティーカップ;tiikappu;tekopp
でんしじしょ;denshijisho;elektronisk ordbok
はしおき;hashioki;spisepinnestativ
はな;hana;blomst
ハンカチ;hankachi;lommetørkle
ビデオカメラ;bideokamera;videokamera
みみかき;mimikaki;ørepynt
おもちゃ;omocha;leketøy
きって;kitte;frimerke
ぬいぐるみ;nuigurumi;kosedyr
ゲーム;geemu;spill
~を あげます;~o agemasu;å gi (noe)
~を もらいます;~o moraimasu;å få (noe)
