ファッション;fasshon;mote
ふく;fuku;klær
ようふく;yoofuku;vestlige klær
きもの;kimono;kimono
ゆかた;yukata;sommerkimono
コート;kooto;frakk/kåpe
ジャケット;jaketto;jakke
スーツ;suutsu;dress/drakt
ワンピース;wanpiisu;kjole
シャツ;shatsu;skjorte
T シャツ;T-shatsu;T-skjorte
セーター;seetaa;genser
スカート;sukaato;skjørt
ジーンズ;jiinzu;jeans
パンツ;pantsu;bukser
パジャマ;pajama;pyjamas
したぎ;shitagi;undertøy
くつ;kutsu;sko
くつした;kutsushita;sokker
アクセサリー;akusesarii;tilbehør
うでどけい;ude-dokee;armklokke
ネックレス;nekkuresu;halskjede
ピアス;piasu;øredobber
ゆびわ;yubiwa;ring
スカーフ;sukaafu;skjerf
マフラー;mafuraa;halstørkle
てぶくろ;tebukuro;hansker/votter
ネクタイ;nekutai;slips
ベルト;beruto;belte
リボン;ribon;bånd/sløyfe
めがね;megane;briller
ぼうし;booshi;hatt/caps
めがねを かけます;megane o kakemasu;å ha på seg briller
ぼうしを かぶります;booshi o kaburimasu;å ha på seg hatt/caps
バッグ;baggu;veske/bag
かばん;kaban;veske/sekk
~を きます;~ o kimasu;å ta på seg ~ (overkropp)
~を はきます;~ o hakimasu;å ta på seg ~ (underkropp/føtter)
~を ぬぎます;~ o nugimasu;å ta av seg ~
