かず;kazu;tall
いち;ichi;én
に;ni;to
さん;san;tre
し/よん;shi/yon;fire
ご;go;fem
ろく;roku;seks
なな/しち;nana/shichi;sju
はち;hachi;åtte
きゅう/く;kyuu/ku;ni
じゅう;juu;ti
にじゅう;nijuu;tyve
さんじゅう;sanjuu;tretti
よんじゅう;yonjuu;førti
ごじゅう;gojuu;femti
ろくじゅう;rokujuu;seksti
ななじゅう;nanajuu;søtti
はちじゅう;hachijuu;åtti
きゅうじゅう;kyuujuu;nitt
ひゃく;hyaku;hundre
にひゃく;nihyaku;to hundre
さんびゃく;sanbyaku;tre hundre
よんひゃく;yonhyaku;fire hundre
ごひゃく;gohyaku;fem hundre
ろっぴゃく;roppyaku;seks hundre
ななひゃく;nanahyaku;sju hundre
はっぴゃく;happyaku;åtte hundre
きゅうひゃく;kyuuhyaku;ni hundre
せん;sen;tusen
さんぜん;sanzen;tre tusen
ごせん;gosen;fem tusen
はっせん;hassen;åtte tusen
いちまん;ichiman;ti tusen
ごまん;goman;femti tusen
じゅうまん;juuman;hundre tusen
ひゃくまん;hyakuman;en million
